operator_id	operator_callsign	operator_comment	operator_country	operator_country_iso2letter	operator_iata	operator_icao	operator_name
2373	DYNAMIC AIR 		United States 	us		DYA	Dynamic Airways 
912	AERO DYNAMIC 		United States 	us		DYN	Aero Dynamics 
3692	DOZER 		United States 	us		DZR	Midwest Aviation 
2600	EXECAIR 		United States 	us		EAC	Executive Air Charter 
1752	EASTERN 		United States 	us		EAH	Baltimore Airways 
3867	MINEBEA 		United States 	us		EBE	Minebea Technologies 
1491			United States 	us		EBS	AEG Aviation Services 
2440	EASTERN CAROLINA 		United States 	us		ECI	Eastern Carolina Aviation 
2427	EASTCOAST JET 		United States 	us		ECJ	East Coast Jets 
2462	EDWARDS 		United States 	us		EDJ	Edwards Jet Center of Montana 
2385	ENDEAVOR 		United States 	us	9E	EDV	Endeavor Air 
2499	EMBASSY FREIGHT 		United States 	us		EFT	Embassy Freight Company 
749	EAGLE FLIGHT 		United States 	us	MQ	EGF	American Eagle Airlines 
2419	EAGLE JET 		United States 	us		EGJ	Eagle Jet Charter 
2428	AIRE HAMPTON 		United States 	us		EHA	East Hampton Aire 
2395	PLATINUM AIR 		United States 	us		EHD	E H Darby Aviation 
2588	EVERGREEN 		United States 	us	EZ	EIA	Evergreen International Airlines 
4017	EXECJET 		United States 	us	1I	EJA	NetJets 
2610	JET SPEED 		United States 	us		EJM	Executive Jet Management 
2450	ECLIPSE JET 		United States 	us		EJT	Eclipse Aviation 
2429	BLUE GOOSE 		United States 	us		EKC	East Kansas City Aviation 
2304	ELITE JET 		United States 	us		ELJ	Delta Private Jets 
2495	ELLIOT 		United States 	us		ELT	Elliott Aviation 
2478	ELAN 		United States 	us		ELX	Elan Express 
2420	EAGLEMED 		United States 	us		EMD	Eaglemed (Ballard Aviation) 
2443	EMAIR 		United States 	us		EME	Eastern Metro Express 
6066			United States 	us	Y0	EMJ	Yellow Air Taxi/Friendship Airways 
2507	EMPIRE 		United States 	us		EMP	Empire Air Service 
2379	SUNBIRD 		United States 	us		ENK	Executive Airlink 
2526	ENTERGY SHUTTLE 		United States 	us		ENS	Entergy Services 
2377	ENVOY 		United States 	us	MQ	ENY	Envoy Air 
2535	AIR ERIE 		United States 	us		ERE	Erie Airways 
2532	ERAH 		United States 	us		ERH	Era Helicopters 
2528	NEW DAWN 		United States 	us	E0	ESS	Eos Airlines 
4328	ENTEL 		United States 	us		ETL	Patterson Aviation Company 
2503	EMERY 		United States 	us		EWW	Emery Worldwide Airlines 
2607	EXEC 		United States 	us		EXE	Executive Flight 
947	EXCHANGE 		United States 	us		EXG	Air Exchange 
2604	EXECUTIVE EAGLE 		United States 	us	OW	EXK	Executive Airlines 
3313	EXPRESS INTERNATIONAL 		United States 	us		EXX	International Air Corporation 
2643	SOCKEYE 		United States 	us		EYE	F.S. Air Service 
2692	FACTS 		United States 	us		FAK	Financial Airxpress 
2819	FRIENDSHIP 		United States 	us		FAL	Friendship Air Alaska 
2662	PANTHER 		United States 	us		FAO	Falcon Air Express 
2667	FALWELL 		United States 	us		FAW	Falwell Aviation 
3851	FAIRFAX 		United States 	us		FAX	Midwest Air Freighters 
2748	FLINT AIR 		United States 	us		FAZ	Flint Aviation Services 
2693	FINE AIR 		United States 	us		FBF	Fine Airlines 
952			United States 	us		FBW	Aviation Data Systems 
953	FAST CHECK 		United States 	us		FCI	Air Carriers 
70	FRACJET 		United States 	us		FCJ	AirSprint US 
2750	FLORIDA COASTAL 		United States 	us	PA	FCL	Florida Coastal Airlines 
2670	FARMINGDALE STATE 		United States 	us		FDL	Farmingdale State University 
2687	FEDEX 		United States 	us	FX	FDX	FedEx Express 
5013	FRIENDLY 		United States 	us	LW	FDY	Sun Air International 
2310	FALCON EXPRESS 		United States 	us		FEC	Denver Express 
4146	FREIGHT LINE 		United States 	us		FET	Old Dominion Freight Lines 
2751	FORESTRY 		United States 	us		FFS	Florida Department of Agriculture 
2822	FRONTIER FLIGHT 		United States 	us	F9	FFT	Frontier Airlines 
2057	FIVE STAR 		United States 	us		FIV	CitationAir 
2752	FLORIDAJET 		United States 	us		FJS	Florida Jet Service 
2788	FOCUS 		United States 	us		FKS	Focus Air 
3850	PALM 		United States 	us		FLA	Midway Express 
2645	FLIGHT CHECK 		United States 	us		FLC	FINFO Flight Inspection Aircraft 
4391	FLAGSHIP 		United States 	us	9E	FLG	Pinnacle Airlines 
5120	MILE HIGH 		United States 	us		FLH	Sky Bus 
2727	FLIGHT EXPRESS 		United States 	us		FLX	Flight Express
966	AIR FLORIDA 		United States 	us	QH	FLZ	Aero Leasing 
3050	HADI 		United States 	us		FMS	Hadison Aviation 
3514	FLIGHT INTERNATIONAL 		United States 	us		FNT	L-3 Communications Flight International Aviation 
2732			United States 	us		FOI	Flight Ops International 
2807	FREEDOM 		United States 	us	FP	FRE	Freedom Air 
2812	FREIGHT RUNNERS 		United States 	us		FRG	Freight Runners Express 
2809	FREEDOM AIR 		United States 	us		FRL	Freedom Airlines 
2685	FEDARM 		United States 	us		FRM	Federal Armored Service 
2677	FARWEST 		United States 	us		FRW	Farwest Airlines 
2797	FOSTER-AIR 		United States 	us		FSA	Foster Aviation 
2801	FOUR STAR 		United States 	us	HK	FSC	Four Star Aviation / Four Star Cargo 
2746	FLIGHTSTAR 		United States 	us		FSR	Flightstar Corporation 
2711	FLAG 		United States 	us		FSX	Flagship Express Services 
2824	FRONTIER-AIR 		United States 	us	2F	FTA	Frontier Flying Service 
3434	FOOTPRINT 		United States 	us		FTP	Keystone Aerial Surveys 
1908	AIR VIRGINIA 		United States 	us		FVA	Cardinal/Air Virginia 
2836			United States 	us		FWK	Flightworks 
2753	FLO WEST 		United States 	us	RF	FWL	Florida West International Airways 
2659	FAIRWAYS 		United States 	us		FWY	Fairways Corporation 
2615	EFFEX 		United States 	us		FXA	Express Air 
5867	FOX FLIGHT 		United States 	us		FXF	VIP Air Charter 
446	AMERICAN FLYERS 		United States 	us		FYS	American Flyers 
1716	BIZEX 		United States 	us		GAA	Business Express 
2983	GRAND EXPRESS 		United States 	us		GAE	Grand Aire Express 
2886	GALENA AIR SERVICE 		United States 	us		GAS	Galena Air Service 
3021	GULF TRANS 		United States 	us		GAT	Gulf Air Inc 
2828	GRAND AIRE 		United States 	us		GAX	Full Express 
4568	GREENBRIER AIR 		United States 	us		GBR	Rader Aviation 
2859	ISLAND TIGER 		United States 	us		GBX	GB Airlink 
3022	GULF CENTRAL 		United States 	us		GCN	Gulf Central Airlines 
2902	GEMINI 		United States 	us	GR	GCO	Gemini Air Cargo 
2861	GALION 		United States 	us		GCS	GCS Air Service 
2967	GOLDEN AIRLINES 		United States 	us		GDD	Golden Airlines 
5123	GOLDEN GATE 		United States 	us		GDG	S.P. Aviation 
3593			United States 	us		GDQ	Lincoln Air National Guard 
2880	GAIL FORCE 		United States 	us		GFC	Gail Force Express 
3026	GULFSTAR 		United States 	us		GFS	Gulfstream Airlines 
3027	GULF FLIGHT 		United States 	us		GFT	Gulfstream International Airlines 
2705	JAWJA 		United States 	us		GGA	First Flying Squadron 
1914	LONG-HAUL 		United States 	us	GG	GGC	Cargo 360 
2098	GRASSHOPPER EX 		United States 	us		GHP	Colvin Aviation 
5670	SKY TRUCK 		United States 	us		GJB	Trans-Air-Link 
2958	LINDBERGH 		United States 	us	G7	GJS	GoJet Airlines 
5743	GOLDEN KNIGHTS 		United States 	us		GKA	US Army Parachute Team 
2990	LAKES AIR 		United States 	us	ZK	GLA	Great Lakes Airlines 
2943	GLO-AIR 		United States 	us		GLB	Global Airways (GLB) 
3025	GULFSTREAM TEST 		United States 	us		GLF	Gulfstream Aerospace 
994	GASLIGHT 		United States 	us		GLT	Aero Charter 
2911	GENERAL MOTORS 		United States 	us		GMC	General Motors 
3194	HUGHES EXPRESS 		United States 	us		GMH	Hughes Aircraft Company 
2984	GRAND VEGAS 		United States 	us		GND	Grand Airways 
2	GENERAL 		United States 	us		GNL	135 Airways 
2968	GOLDEN PAC 		United States 	us		GPA	Golden Pacific Airlines 
5671	GOODSPEED 		United States 	us	TJ	GPD	Tradewind Aviation 
2871	REGIONAL EXPRESS 		United States 	us		GPE	GP Express Airlines 
2992	GREAT PLAINS 		United States 	us		GRP	Great Plains Airlines 
4024	GRAY RIDER 		United States 	us		GRY	New York State Police 
2894	GARDEN STATE 		United States 	us		GSA	Garden State Airlines 
2950	GLOBAL SKY 		United States 	us		GSK	Global Sky Aircharter 
1007	GREEN SPEED 		United States 	us		GSP	Airlift Alaska 
2909	GOTHAM 		United States 	us		GTH	General Aviation Flying Services 
1011	GIANT 		United States 	us	5Y	GTI	Atlas Air 
2875	BIG-DEE 		United States 	us		GTX	GTA Air 
3028	GULL-AIR 		United States 	us		GUL	Gull Air 
2986	HOOT 		United States 	us	GV	GUN	Grant Aviation 
2994	G-W AIR 		United States 	us		GWA	Great Western Air 
5744	GETAWAY 		United States 	us	U5	GWY	USA3000 Airlines 
3051	HAGELAND 		United States 	us	H6	HAG	Hageland Aviation Services 
4209	ORIONIX 		Russia 	ru		OIX	Orion-x 
3083	HAWAIIAN 		United States 	us	HA	HAL	Hawaiian Airlines 
3078	HARBOR 		United States 	us	HB	HAR	Harbor Airlines 
5672	HARBOR AIR 		United States 	us		HBA	Trail Lake Flying Service 
3545	HAVASU 		United States 	us		HCA	Lake Havasu Air Service 
3162	HOGAN AIR 		United States 	us		HGA	Hogan Air 
2848	HIGHTECH 		United States 	us		HGT	GMJ Air Shuttle 
3189	HOUSTON HELI 		United States 	us		HHO	Houston Helicopters 
5131	SPEND AIR 		United States 	us	SO	HKA	Superior Aviation 
3202	CLASSIC 		United States 	us		HKB	Hawker Beechcraft 
3088	HAWKEYE 		United States 	us		HKI	Hawkaire 
1026	TAHOMA 		United States 	us		HMA	Air Tahoma 
2004	HAMMOND 		United States 	us		HMD	Charlie Hammonds Flying Service 
3167	HOLIDAY 		United States 	us		HOL	Holiday Airlines (US Airline) 
3178	HOPA-JET 		United States 	us		HPJ	Hop-A-Jet 
4232	HORSEMAN 		United States 	us		HRS	Pursuit Aviation 
3324	HOSPITAL 		United States 	us		HSP	International Jet Charter 
2068	HOOSIER 		United States 	us		HSR	Citylink Airlines 
3141	HELITRANS 		United States 	us		HTS	Helitrans Air Service 
3192	HUB 		United States 	us		HUB	Hub Airlines 
3186	HUD 		United States 	us		HUD	Horizons Unlimited 
3835	HURRICANE CHARTER 		United States 	us		HUR	Miami Air Charter 
3193	HUESSLER 		United States 	us		HUS	Huessler Air Service 
4026	HAVEN-AIR 		United States 	us		HVA	Newair 
3255	ILIAMNA AIR 		United States 	us	V8	IAR	Iliamna Air Taxi 
4749	ICE BRIDGE 		United States 	us		IBG	Springfield Air 
3269	INDIGO BLUE 		United States 	us	I9	IBU	Indigo Airlines 
3317	CENTRAL STAGE 		United States 	us		IBY	International Business Aircraft 
2408	ICARUS FLIGHTS 		United States 	us		ICR	Eagle Aero 
3220	EIFEL 		United States 	us		IFL	IFL Group 
3322	IFTA 		United States 	us		IFX	International Flight Training Academy 
3362	ISLA GRANDE 		United States 	us		IGS	Isle Grande Flying School 
3323	I-JET 		United States 	us		IJA	International Jet Aviation Services 
5138			United States 	us		IJS	Silvair 
3204	JET WEST 		United States 	us		IJW	Interjet Inc. 
3349	ISLAND FLIGHT 		United States 	us		ILF	Island Air Charters 
3294	INTER-MOUNTAIN 		United States 	us		IMA	Inter-Mountain Airways 
3336	IOWA AIR 		United States 	us		IOA	Iowa Airways 
3329	INTERPORT 		United States 	us		IPT	Interport Corporation 
2209	IRON AIR 		United States 	us		IRO	CSA Air 
3351			United States 	us		ISA	Island Airlines 
3291	CAFEX 		United States 	us		ITA	Inter-Air 
2823	OUT BACK 		United States 	us		ITR	Frontier Commuter 
3295	INTER-STATE 		United States 	us		ITS	Inter-State Aviation 
2730	INVADER JACK 		United States 	us		IVJ	Flight International 
2338	ISLAND EXPRESS 		United States 	us		IXX	Dolphin Express Airlines 
5144	SECUREAIR 		United States 	us		JCM	Secure Air Charter 
2300	JOHN DEERE 		United States 	us		JDC	Deere and Company 
3538	JET-FLEET 		United States 	us		JFC	LTV Jet Fleet Corporation 
4253	BLUE STREAK 		United States 	us	OH	JIA	PSA Airlines 
3534	JACKET 		United States 	us		JKA	LeTourneau University 
3696	JONAH 		United States 	us		JNH	M & N Aviation 
4151	J-PAT 		United States 	us		JPA	OSACOM 
1063	JASPER 		United States 	us		JPR	Aerosmith Aviation 
5766	JET USA 		United States 	us	U7	JUS	USA Jet Airlines 
3395	KAISER 		United States 	us		KAI	Kaiser Air 
1894	CAIR 		United States 	us	9K	KAP	Cape Air 
3382	KOLOB 		United States 	us		KCR	Kolob Canyons Air Services 
2747	KUDZU 		United States 	us		KDZ	Flightworks 
3427	KENMORE 		United States 	us	M5	KEN	Kenmore Air 
3432	KEY AIR 		United States 	us		KEY	Key Airlines 
3397	KALITTA 		United States 	us	K9	KFS	Kalitta Charters 
3458	RIZZ 		United States 	us		KHX	Knighthawk Express 
3455	KIWI AIR 		United States 	us	KP	KIA	Kiwi International Air Lines 
